,Country,Year,rengcon,nonrengcon
115,Malaysia,2015,0.03406300068,0.9659369993
116,Malaysia,2016,0.04431200027,0.9556879997
117,Malaysia,2017,0.05223499775,0.9477650023
118,Malaysia,2018,0.0531050014499999,0.9468949986
119,Malaysia,2019,0.0539894955581672,0.9460257935224816
120,Myanmar,1996,0.8460983679999999,0.153901632
121,Myanmar,1997,0.8516242502,0.1483757497999999
122,Myanmar,1998,0.8335448155999999,0.1664551844
123,Myanmar,1999,0.8187977107000001,0.1812022892999999
124,Myanmar,2000,0.8016660309,0.1983339691
125,Myanmar,2001,0.8247730255000001,0.1752269745
126,Myanmar,2002,0.8311360168,0.1688639832
127,Myanmar,2003,0.7979560089000001,0.2020439911
128,Myanmar,2004,0.8042179871,0.1957820129
129,Myanmar,2005,0.7972760010000001,0.202723999
130,Myanmar,2006,0.8157779694,0.1842220306
131,Myanmar,2007,0.8082959746999999,0.1917040253
132,Myanmar,2008,0.858065033,0.141934967
133,Myanmar,2009,0.8558110046,0.1441889954
134,Myanmar,2010,0.8487010193000001,0.1512989807
135,Myanmar,2011,0.8440119934000001,0.1559880066
136,Myanmar,2012,0.7869020080999999,0.2130979919
137,Myanmar,2013,0.7612329864999999,0.2387670135
138,Myanmar,2014,0.7262940216,0.2737059784
139,Myanmar,2015,0.7065609741,0.2934390259
140,Myanmar,2016,0.6953469849,0.3046530151
141,Myanmar,2017,0.6057289886,0.3942710114
142,Myanmar,2018,0.6011109924,0.3988890076
143,Myanmar,2019,0.5965282031808521,0.4035610932163825
144,Philippines,1996,0.3687686632999999,0.6312313367
145,Philippines,1997,0.3379991123,0.6620008877
146,Philippines,1998,0.3343061175999999,0.6656938823999999
147,Philippines,1999,0.3406882535,0.6593117465
148,Philippines,2000,0.3484809875,0.6515190125
149,Philippines,2001,0.3353789901999999,0.6646210098
150,Philippines,2002,0.3283029938,0.6716970062000001
151,Philippines,2003,0.3205289840999999,0.6794710159
152,Philippines,2004,0.3131609917,0.6868390083
153,Philippines,2005,0.3143250084,0.6856749916
154,Philippines,2006,0.3259949875,0.6740050125
155,Philippines,2007,0.3120630074,0.6879369926
156,Philippines,2008,0.3172979927,0.6827020073
157,Philippines,2009,0.3122660065,0.6877339935000001
158,Philippines,2010,0.2881459999,0.7118540001
159,Philippines,2011,0.2940139961,0.7059860039
160,Philippines,2012,0.2874480057,0.7125519943
161,Philippines,2013,0.2783889961,0.7216110039
162,Philippines,2014,0.2713990021,0.7286009979000001
163,Philippines,2015,0.258654995,0.741345005
164,Philippines,2016,0.2396990013,0.7603009987
165,Philippines,2017,0.2339660072,0.7660339928000001
166,Philippines,2018,0.232201004,0.7677989959999999
167,Philippines,2019,0.2304493157098593,0.7695680659076463
168,Singapore,1996,0.00457871819,0.9954212818
169,Singapore,1997,0.00431425659,0.9956857434
170,Singapore,1998,0.00433014805,0.9956698519
171,Singapore,1999,0.0042652008299999,0.9957347992
172,Singapore,2000,0.00325399995,0.9967460001
173,Singapore,2001,0.0059649998,0.9940350002
174,Singapore,2002,0.00577600002,0.994224
175,Singapore,2003,0.0057609999199999,0.9942390001
176,Singapore,2004,0.0052549999999999,0.994745
177,Singapore,2005,0.0053500002599999,0.9946499997
178,Singapore,2006,0.0051789999,0.9948210001
179,Singapore,2007,0.0050379997499999,0.9949620003
180,Singapore,2008,0.0053179997199999,0.9946820003
181,Singapore,2009,0.00475199997,0.995248
182,Singapore,2010,0.0047330001,0.9952669999
183,Singapore,2011,0.00478599995,0.995214
184,Singapore,2012,0.00506900013,0.9949309999
185,Singapore,2013,0.0056129998,0.9943870002
186,Singapore,2014,0.00590699971,0.9940930003
187,Singapore,2015,0.0064509999799999,0.993549
188,Singapore,2016,0.00680100024,0.9931989998
189,Singapore,2017,0.00690299988,0.9930970001
190,Singapore,2018,0.0072729998799999,0.9927270001
191,Singapore,2019,0.0076628318374648,0.9923571379515894
192,Thailand,1996,0.2116347051,0.7883652949000001
193,Thailand,1997,0.2124884266,0.7875115734000001
194,Thailand,1998,0.2165097363,0.7834902637000001
195,Thailand,1999,0.2131244234,0.7868755766
196,Thailand,2000,0.2199069977,0.7800930022999999
197,Thailand,2001,0.2003790091999999,0.7996209908
198,Thailand,2002,0.2006920052,0.7993079948
199,Thailand,2003,0.2034679985,0.7965320015
200,Thailand,2004,0.2002709961,0.7997290039
201,Thailand,2005,0.2025489998,0.7974510001999999
202,Thailand,2006,0.2068930054,0.7931069946
203,Thailand,2007,0.2161370087,0.7838629912999999
204,Thailand,2008,0.2249360085,0.7750639914999999
205,Thailand,2009,0.2266020012,0.7733979988
206,Thailand,2010,0.2265979958,0.7734020042
207,Thailand,2011,0.2276119995,0.7723880004999999
208,Thailand,2012,0.2330130004999999,0.7669869995
209,Thailand,2013,0.2295590019,0.7704409981000001
210,Thailand,2014,0.2412770081,0.7587229919
211,Thailand,2015,0.2265279961,0.7734720038999999
212,Thailand,2016,0.2243149948,0.7756850052
213,Thailand,2017,0.2226580048,0.7773419952
214,Thailand,2018,0.2372330093,0.7627669907000001
215,Thailand,2019,0.2527620812558988,0.7484652645735946
216,Viet Nam,1996,0.6286600927,0.3713399073
217,Viet Nam,1997,0.6079237361,0.3920762639
218,Viet Nam,1998,0.5949934411000001,0.4050065589
219,Viet Nam,1999,0.5956700311,0.4043299689
220,Viet Nam,2000,0.579803009,0.4201969909999999
221,Viet Nam,2001,0.5638639832,0.4361360168
222,Viet Nam,2002,0.5245470047,0.4754529953
223,Viet Nam,2003,0.5107730103,0.4892269897
224,Viet Nam,2004,0.4601850128,0.5398149872
225,Viet Nam,2005,0.443913002,0.5560869979999999
226,Viet Nam,2006,0.4449470139,0.5550529861
227,Viet Nam,2007,0.4213560104,0.5786439896000001
228,Viet Nam,2008,0.3948540115,0.6051459885
229,Viet Nam,2009,0.3718600082,0.6281399918
230,Viet Nam,2010,0.3479249954,0.6520750046
231,Viet Nam,2011,0.3654349899,0.6345650101
232,Viet Nam,2012,0.3810189819,0.6189810181
233,Viet Nam,2013,0.3768399811,0.6231600189000001
234,Viet Nam,2014,0.3694440079,0.6305559921
235,Viet Nam,2015,0.3071990013,0.6928009987
236,Viet Nam,2016,0.3095089911999999,0.6904910088
237,Viet Nam,2017,0.3197570038,0.6802429962
238,Viet Nam,2018,0.2349180031,0.7650819969
239,Viet Nam,2019,0.1725887706122282,0.8605020047988723
